,孙少平,金波,田福堂,侯玉英,田晓霞,孙玉厚,金俊海,金秀,王满银,孙少安,孙玉亭,金俊武,金光亮,金先生,金俊山,徐治功,杨高虎,徐国强,田福军,冯世宽,憨牛,金富,金强,金俊斌,刘根民,田润叶,徐爱云,李登云,白明川,田润生,贾冰,田五,田海民,王彩娥,贺秀莲,贺耀宗,张有智,周文龙,刘志祥,黑白,马国雄,胡得禄,武惠良,孙兰香,胡得福,苗凯,金光辉,刘玉升,石钟,乔伯年,张生民,杜正贤,高凤阁,白元,武宏全,武得全,曹书记,萝卜花,顾尔纯,杜丽丽,胡永合,南洋女人,胡永州,藏族姑娘,小翠,雷区长,王世才,安锁子,田四,惠英,高步杰,卫红,马来花,古风铃,田晓晨
30,,8.0,1.0,,,29.0,16.0,2.0,,,1.0,1.0,,,15.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,3.0,1.0,,,1.0,,,,5.0,6.0,2.0,,,1.0,,,,,,,1.0,6.0,,2.0,,,,,,,5.0,3.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,27.0,1.0,,,,,,,,,1.0,,,,,,,,20.0,9.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,1.0,,,23.0,20.0,,,,,,,,9.0,10.0,,,,,,,,17.0,14.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,6.0,3.0,,,9.0,,3.0,7.0,9.0,3.0,1.0,1.0,,1.0,,,,,,,,,,3.0,,,,,,,,3.0,,1.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,16.0,,,14.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,11.0,,,,2.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,3.0,,1.0,,,,,1.0,,,,,,,,20.0,3.0,4.0,,,,,,1.0,4.0,11.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,1.0,15.0,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,1.0,3.0,4.0,9.0,3.0,,,,,,,,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
